%cLabel	pValZ	cScorePheno
GO:0043416	0.000475662	0.118814762
GO:0061734	0.000438636	0.223250253
GO:0071169	0.000445478	0.249963774
GO:0043247	0.00049209	0.203608
GO:0045324	0.000489217	0.119063462
GO:0010694	0.000526731	0.192979253
GO:0070262	0.000529366	0.135936756
GO:0001829	0.000575909	0.186898094
GO:0018107	0.000594185	0.08991209
GO:0007638	0.00067749	0.113227784
GO:0031848	0.00080496	0.180775544
GO:0032456	0.000735282	0.12733349
GO:0035520	0.000716124	0.178403327
GO:0045023	0.000810106	0.15175074
GO:0070922	0.000801707	0.224150512
GO:2000001	0.000761297	0.132852158
GO:0014832	0.000871992	0.103002865
GO:0014848	0.000871992	0.103002865
GO:0035020	3.39E-05	0.214215966
GO:2000074	0.000101426	0.389950966
GO:0023041	0.000127961	0.318989866
GO:2000322	0.000189955	0.270154388
GO:0050775	0.00024104	0.158309464
GO:0000422	0.00029873	0.188467659
GO:0009223	0.000281734	0.133384019
GO:0061726	0.00029873	0.188467659
GO:2000671	0.00029346	0.242441759
GO:1901857	0.000338689	0.369455381
GO:0006743	0.000428103	0.204040202
GO:1900113	0.000422537	0.206088052
GO:1903146	0.000444937	0.143480336
GO:1900452	0.000494908	0.214955573
GO:1903299	0.000488537	0.22356312
GO:0032596	0.000555985	0.170405255
GO:2000774	0.000568194	0.138140293
GO:1902774	0.000637134	0.125500157
GO:0010659	0.000688087	0.078437236
GO:0006501	0.000716811	0.137255864
GO:0014870	0.000781822	0.205791224
GO:0051988	0.000792699	0.153427381
GO:0070316	0.000773275	0.172893597
GO:0045652	0.000861355	0.149864277
GO:0036124	0.000923262	0.126278659
GO:0045070	0.000974416	0.080963594
GO:0042791	0.001374627	0.196702541
GO:0042797	0.001374627	0.196702541
GO:0006541	0.001505405	0.084550862
GO:0010692	0.001640972	0.120184594
GO:1901858	0.00018459	0.23378628
GO:0098779	0.000300904	0.219147333
GO:0098780	0.000300904	0.219147333
GO:0097061	0.000335385	0.121358958
GO:0006002	0.000437541	0.228623049
GO:0090166	0.000415557	0.2172685
GO:1902261	0.000451997	0.143897684
GO:1903818	0.000451997	0.143897684
GO:0010992	0.000501249	0.181888419
GO:0021877	0.000642902	0.21179797
GO:0009219	0.000741714	0.083630267
GO:0009649	0.000784897	0.120061726
GO:0033131	0.000744613	0.19357162
GO:0042297	0.000783338	0.216712171
GO:0045161	0.000793548	0.146354473
GO:0098596	0.000783338	0.216712171
GO:0098598	0.000783338	0.216712171
GO:2000300	0.000795827	0.179123989
GO:0045472	0.000865374	0.154648442
GO:0031659	0.00098738	0.226117479
GO:0045026	0.000987697	0.107143299
GO:2001169	0.001008095	0.136630148
GO:0070873	0.001041797	0.07725965
GO:0045628	0.00117228	0.120056875
GO:0060292	0.001178506	0.158243083
GO:0086002	0.001204701	0.101509461
GO:0060996	0.001215536	0.097064021
GO:0010390	0.001231759	0.110648528
GO:2000779	0.001237005	0.083359666
GO:0010603	0.001277589	0.194406104
GO:0006678	0.001488948	0.116303876
GO:0010807	0.001509539	0.283116073
GO:0051153	0.001516645	0.062483544
GO:0086067	0.001549569	0.183017895
GO:0018210	0.00157995	0.078634962
GO:0008228	0.0018696	0.207535683
GO:0018298	0.002002398	0.120666534
GO:0070525	0.002061047	0.140257047
GO:0006995	0.000194573	0.276380835
GO:0043562	0.000194573	0.276380835
GO:0032462	0.000512032	0.177224013
GO:0021895	0.000539876	0.148895845
GO:0000045	0.000645951	0.126982673
GO:1900273	0.000669821	0.145897677
GO:0000244	0.000720413	0.23257767
GO:0016242	0.000776418	0.144762368
GO:0038180	0.000759309	0.221412418
GO:0006388	0.000861324	0.157125214
GO:1905037	0.000864364	0.124496996
GO:0071333	0.00091394	0.088534345
GO:0051315	0.000973294	0.184850268
GO:0045911	0.001164824	0.07826971
GO:0050684	0.001205866	0.06821025
GO:0006047	0.001224906	0.125299832
GO:0045008	0.001223218	0.184870008
GO:0031365	0.001256655	0.084690976
GO:0032881	0.001273249	0.081250917
GO:0006265	0.001338616	0.159369097
GO:0051967	0.001365541	0.096975889
GO:0045648	0.001478721	0.080509177
GO:0033137	0.001637849	0.113165533
GO:0043153	0.00185616	0.114993803
GO:0051654	0.001867578	0.101274898
GO:0006813	0.001923638	0.069818862
GO:0048641	0.002003586	0.071391551
GO:0046040	0.002129988	0.104608231
GO:0060997	0.000765703	0.140996746
GO:1903748	0.000950724	0.198359232
GO:1902510	0.000954767	0.205994349
GO:2000617	0.000986494	0.189062845
GO:0018410	0.001065643	0.145081131
GO:0051533	0.001085343	0.161447871
GO:0015012	0.001115239	0.106663212
GO:0060371	0.001201716	0.157246986
GO:0030050	0.001306939	0.104404845
GO:0031119	0.001308259	0.245361493
GO:0071326	0.001319806	0.083818382
GO:0071331	0.001319806	0.083818382
GO:0031339	0.001510633	0.207968795
GO:0045176	0.001510681	0.101073824
GO:0033184	0.001535947	0.179912389
GO:0035196	0.001532006	0.094576387
GO:0000042	0.001689584	0.119544108
GO:0061001	0.001689644	0.120211569
GO:0006817	0.001973714	0.110269226
GO:0021535	0.002022796	0.127344811
GO:0048733	0.002131207	0.150344246
GO:0060236	0.000918969	0.192074644
GO:0034389	0.000948898	0.106123337
GO:0010507	0.001041704	0.098926234
GO:0000730	0.001148285	0.138815061
GO:0045003	0.001148285	0.138815061
GO:0048025	0.001159709	0.118195705
GO:0032463	0.00130584	0.224433095
GO:0010310	0.001438069	0.142348951
GO:0048312	0.00155381	0.151438522
GO:0032057	0.001616806	0.140550492
GO:0043543	0.001666052	0.063640184
GO:0021942	0.001745835	0.231147744
GO:0033206	0.001749235	0.215473515
GO:1900006	0.001851191	0.083964538
GO:0043484	0.001970503	0.069328281
GO:0045743	0.002012956	0.173497766
GO:1904885	0.002183832	0.19852795
GO:0033962	0.002476388	0.103264377
GO:0070127	0.000922185	0.19244712
GO:0071985	0.001440331	0.183867202
GO:0044154	0.001585775	0.183368444
GO:1901985	0.001776404	0.07877509
GO:0032459	0.001949641	0.108299108
GO:0039694	0.001968244	0.082429202
GO:0039703	0.001968244	0.082429202
GO:0032885	0.002027097	0.070832727
GO:0055064	0.00208451	0.139237553
GO:0055083	0.00208451	0.139237553
GO:2001032	0.002167059	0.170457165
GO:0045048	0.002343184	0.208061225
GO:0031054	0.00259055	0.131895267
GO:1901897	0.002570432	0.136295151
GO:0018023	0.002737485	0.108007847
GO:0045653	0.00285354	0.189581011
GO:1903044	0.001278218	0.158793514
GO:0070936	0.001351226	0.072273487
GO:0001678	0.001492832	0.069923602
GO:0031629	0.001480391	0.150779423
GO:0099500	0.001480391	0.150779423
GO:0071875	0.001758582	0.088441728
GO:0006356	0.001959913	0.095035633
GO:0005979	0.002024959	0.064535947
GO:0010962	0.002024959	0.064535947
GO:0070208	0.001998834	0.119048023
