publication,n,sync,x,y,z,i,j,k,i_,j_,k_,dist,atlas_idx,atlas_region
Zhang R 2021 2,42.0,0.0,63.0,-15.0,47.0,76,55,59,76,55,59,0.0,68.0,RH_DorsAttn_Post_2
Zhang R 2021 2,42.0,0.0,63.0,-41.3,49.3,76,42,60,76,42,60,0.0,81.0,RH_Cont_Par_1
Zhang R 2021 2,42.0,0.0,52.0,-71.7,38.7,71,27,55,70,27,55,1.0,82.0,RH_Cont_Par_2
Zhang R 2021 2,42.0,0.0,31.7,-92.7,25.7,60,16,48,60,16,47,1.0,57.0,RH_Vis_7
Zhang R 2021 2,42.0,0.0,56.7,-24.7,57.3,73,50,64,73,50,64,0.0,64.0,RH_SomMot_6
Zhang R 2021 2,42.0,0.0,50.7,-55.3,56.7,70,35,64,70,35,64,0.0,82.0,RH_Cont_Par_2
Zhang R 2021 2,42.0,0.0,33.7,-81.7,45.7,61,22,58,61,22,58,0.0,70.0,RH_DorsAttn_Post_4
Zhang R 2021 2,42.0,0.0,46.0,-10.0,64.0,68,58,68,68,58,67,1.0,64.0,RH_SomMot_6
Zhang R 2021 2,42.0,0.0,44.7,-36.7,67.0,67,44,69,67,44,68,1.0,69.0,RH_DorsAttn_Post_3
Zhang R 2021 2,42.0,0.0,30.7,-63.7,66.7,60,31,69,60,31,69,0.0,70.0,RH_DorsAttn_Post_4
Zhang R 2021 2,42.0,0.0,15.3,-82.7,52.3,52,21,62,52,22,62,1.0,89.0,RH_Cont_pCun_1
Zhang R 2021 2,42.0,0.0,31.7,-18.3,74.0,60,53,73,60,53,73,0.0,64.0,RH_SomMot_6
Zhang R 2021 2,42.0,0.0,24.7,-48.7,75.0,57,38,73,57,38,73,0.0,71.0,RH_DorsAttn_Post_5
Zhang R 2021 2,42.0,0.0,10.3,-71.7,66.0,50,27,69,50,27,68,1.0,71.0,RH_DorsAttn_Post_5
Zhang Y 2020 1,17.0,1.0,73.0,-28.3,9.7,81,48,40,80,48,40,1.0,59.0,RH_SomMot_1
Zhang Y 2020 1,17.0,0.0,68.0,-54.3,5.3,79,35,38,78,35,38,1.0,67.0,RH_DorsAttn_Post_1
Zhang Y 2020 1,17.0,0.0,49.3,-83.7,-8.3,69,21,31,69,21,31,0.0,53.0,RH_Vis_3
Zhang Y 2020 1,17.0,0.0,70.0,-13.3,27.7,80,56,49,79,56,49,1.0,75.0,RH_SalVentAttn_TempOccPar_2
Zhang Y 2020 1,17.0,0.0,69.7,-43.0,22.3,79,41,47,79,41,47,0.0,74.0,RH_SalVentAttn_TempOccPar_1
Zhang Y 2020 1,17.0,1.0,57.0,-72.7,14.7,73,26,43,73,27,43,1.0,57.0,RH_Vis_7
Zhang Y 2020 1,17.0,0.0,37.3,-96.0,1.7,63,15,36,63,15,36,0.0,54.0,RH_Vis_4
Zhang Y 2020 1,17.0,0.0,69.0,-28.0,39.0,79,49,55,79,49,55,0.0,75.0,RH_SalVentAttn_TempOccPar_2
Zhang Y 2020 1,17.0,0.0,63.0,-56.3,34.3,76,34,53,75,34,53,1.0,90.0,RH_Default_Par_1
Zhang Y 2020 1,17.0,0.0,47.7,-82.3,23.3,68,21,47,68,22,47,1.0,67.0,RH_DorsAttn_Post_1
Zhang Y 2020 1,17.0,0.0,63.0,-15.0,47.0,76,55,59,76,55,59,0.0,68.0,RH_DorsAttn_Post_2
Zhang Y 2020 1,17.0,0.0,63.0,-41.3,49.3,76,42,60,76,42,60,0.0,81.0,RH_Cont_Par_1
Zhang Y 2020 1,17.0,1.0,52.0,-71.7,38.7,71,27,55,70,27,55,1.0,82.0,RH_Cont_Par_2
Zhang Y 2020 1,17.0,1.0,31.7,-92.7,25.7,60,16,48,60,16,47,1.0,57.0,RH_Vis_7
Zhang Y 2020 1,17.0,0.0,56.7,-24.7,57.3,73,50,64,73,50,64,0.0,64.0,RH_SomMot_6
Zhang Y 2020 1,17.0,1.0,50.7,-55.3,56.7,70,35,64,70,35,64,0.0,82.0,RH_Cont_Par_2
Zhang Y 2020 1,17.0,0.0,33.7,-81.7,45.7,61,22,58,61,22,58,0.0,70.0,RH_DorsAttn_Post_4
Zhang Y 2020 1,17.0,0.0,46.0,-10.0,64.0,68,58,68,68,58,67,1.0,64.0,RH_SomMot_6
Zhang Y 2020 1,17.0,0.0,44.7,-36.7,67.0,67,44,69,67,44,68,1.0,69.0,RH_DorsAttn_Post_3
Zhang Y 2020 1,17.0,0.0,30.7,-63.7,66.7,60,31,69,60,31,69,0.0,70.0,RH_DorsAttn_Post_4
Zhang Y 2020 1,17.0,0.0,15.3,-82.7,52.3,52,21,62,52,22,62,1.0,89.0,RH_Cont_pCun_1
Zhang Y 2020 1,17.0,0.0,31.7,-18.3,74.0,60,53,73,60,53,73,0.0,64.0,RH_SomMot_6
Zhang Y 2020 1,17.0,1.0,24.7,-48.7,75.0,57,38,73,57,38,73,0.0,71.0,RH_DorsAttn_Post_5
Zhang Y 2020 1,17.0,0.0,10.3,-71.7,66.0,50,27,69,50,27,68,1.0,71.0,RH_DorsAttn_Post_5
Zhang Y 2020 2,21.0,0.0,73.0,-28.3,9.7,81,48,40,80,48,40,1.0,59.0,RH_SomMot_1
Zhang Y 2020 2,21.0,0.0,68.0,-54.3,5.3,79,35,38,78,35,38,1.0,67.0,RH_DorsAttn_Post_1
Zhang Y 2020 2,21.0,0.0,49.3,-83.7,-8.3,69,21,31,69,21,31,0.0,53.0,RH_Vis_3
Zhang Y 2020 2,21.0,0.0,70.0,-13.3,27.7,80,56,49,79,56,49,1.0,75.0,RH_SalVentAttn_TempOccPar_2
Zhang Y 2020 2,21.0,0.0,69.7,-43.0,22.3,79,41,47,79,41,47,0.0,74.0,RH_SalVentAttn_TempOccPar_1
Zhang Y 2020 2,21.0,0.0,57.0,-72.7,14.7,73,26,43,73,27,43,1.0,57.0,RH_Vis_7
Zhang Y 2020 2,21.0,0.0,37.3,-96.0,1.7,63,15,36,63,15,36,0.0,54.0,RH_Vis_4
Zhang Y 2020 2,21.0,0.0,69.0,-28.0,39.0,79,49,55,79,49,55,0.0,75.0,RH_SalVentAttn_TempOccPar_2
Zhang Y 2020 2,21.0,0.0,63.0,-56.3,34.3,76,34,53,75,34,53,1.0,90.0,RH_Default_Par_1
Zhang Y 2020 2,21.0,0.0,47.7,-82.3,23.3,68,21,47,68,22,47,1.0,67.0,RH_DorsAttn_Post_1
Zhang Y 2020 2,21.0,0.0,63.0,-15.0,47.0,76,55,59,76,55,59,0.0,68.0,RH_DorsAttn_Post_2
Zhang Y 2020 2,21.0,0.0,63.0,-41.3,49.3,76,42,60,76,42,60,0.0,81.0,RH_Cont_Par_1
Zhang Y 2020 2,21.0,0.0,52.0,-71.7,38.7,71,27,55,70,27,55,1.0,82.0,RH_Cont_Par_2
Zhang Y 2020 2,21.0,0.0,31.7,-92.7,25.7,60,16,48,60,16,47,1.0,57.0,RH_Vis_7
Zhang Y 2020 2,21.0,0.0,56.7,-24.7,57.3,73,50,64,73,50,64,0.0,64.0,RH_SomMot_6
Zhang Y 2020 2,21.0,0.0,50.7,-55.3,56.7,70,35,64,70,35,64,0.0,82.0,RH_Cont_Par_2
Zhang Y 2020 2,21.0,1.0,33.7,-81.7,45.7,61,22,58,61,22,58,0.0,70.0,RH_DorsAttn_Post_4
Zhang Y 2020 2,21.0,0.0,46.0,-10.0,64.0,68,58,68,68,58,67,1.0,64.0,RH_SomMot_6
Zhang Y 2020 2,21.0,0.0,44.7,-36.7,67.0,67,44,69,67,44,68,1.0,69.0,RH_DorsAttn_Post_3
Zhang Y 2020 2,21.0,0.0,30.7,-63.7,66.7,60,31,69,60,31,69,0.0,70.0,RH_DorsAttn_Post_4
Zhang Y 2020 2,21.0,0.0,15.3,-82.7,52.3,52,21,62,52,22,62,1.0,89.0,RH_Cont_pCun_1
Zhang Y 2020 2,21.0,0.0,31.7,-18.3,74.0,60,53,73,60,53,73,0.0,64.0,RH_SomMot_6
Zhang Y 2020 2,21.0,0.0,24.7,-48.7,75.0,57,38,73,57,38,73,0.0,71.0,RH_DorsAttn_Post_5
Zhang Y 2020 2,21.0,0.0,10.3,-71.7,66.0,50,27,69,50,27,68,1.0,71.0,RH_DorsAttn_Post_5
Zhao 2017,48.0,0.0,28.0,34.0,49.01,59,80,60,59,80,60,0.0,98.0,RH_Default_PFCdPFCm_3
Zhao 2017,48.0,0.0,12.99666667,46.66,56.66666667,51,86,64,51,85,63,1.4142135623730951,97.0,RH_Default_PFCdPFCm_2
Zhao 2017,48.0,0.0,-2.0,33.0,36.0,44,79,54,44,79,54,0.0,28.0,LH_SalVentAttn_Med_1
Zhao 2017,48.0,0.0,31.01,30.0,30.0,60,78,51,60,78,51,0.0,98.0,RH_Default_PFCdPFCm_3
Zhao 2017,48.0,1.0,24.0,52.0,50.99,57,89,61,55,88,59,3.0,97.0,RH_Default_PFCdPFCm_2
Zhao 2017,48.0,0.0,1.663333333,51.33333333,36.66666667,45,88,54,45,88,54,0.0,46.0,LH_Default_PFC_5
Zhao 2017,48.0,0.0,-13.495,46.0,36.495,38,86,54,38,87,54,1.0,46.0,LH_Default_PFC_5
Zhao 2017,48.0,0.0,23.01,50.0,32.0,56,88,52,56,88,52,0.0,85.0,RH_Cont_PFCl_3
Zhao 2017,48.0,1.0,10.0,50.0,27.01,50,88,49,50,88,48,1.0,97.0,RH_Default_PFCdPFCm_2
Zhao 2017,48.0,0.0,-6.0,43.01,24.0,42,84,48,42,84,48,0.0,46.0,LH_Default_PFC_5
Zhao 2021 1,42.0,0.0,10.0,42.0,57.0,50,84,64,50,84,64,0.0,97.0,RH_Default_PFCdPFCm_2
Zhao 2021 1,42.0,0.0,-23.0,39.0,53.0,33,82,62,33,82,61,1.0,46.0,LH_Default_PFC_5
Zhao 2021 1,42.0,0.0,27.0,50.0,42.0,58,88,57,58,88,56,1.0,85.0,RH_Cont_PFCl_3
Zhao 2021 1,42.0,0.0,-8.0,55.0,46.0,41,90,59,41,90,59,0.0,46.0,LH_Default_PFC_5
Zhao 2021 1,42.0,0.0,-37.0,46.0,37.0,26,86,54,26,86,53,1.0,27.0,LH_SalVentAttn_PFCl_1
Zhao 2021 1,42.0,0.0,11.0,65.0,32.0,50,95,52,50,95,52,0.0,97.0,RH_Default_PFCdPFCm_2
Zhao 2021 1,42.0,0.0,-24.0,61.0,29.0,33,93,50,33,93,50,0.0,46.0,LH_Default_PFC_5
Zhao 2021 1,42.0,0.0,29.0,68.0,14.0,59,97,43,59,96,43,1.0,83.0,RH_Cont_PFCl_1
Zhao 2021 1,42.0,0.0,-7.0,72.0,15.0,41,99,43,41,98,43,1.0,46.0,LH_Default_PFC_5
Zhao 2021 1,42.0,0.0,-37.0,62.0,11.0,26,94,41,26,93,41,1.0,45.0,LH_Default_PFC_4
Zhao 2021 1,42.0,1.0,14.0,73.0,0.0,52,99,36,52,99,36,0.0,83.0,RH_Cont_PFCl_1
Zhao 2021 1,42.0,0.0,-21.0,71.0,0.0,34,98,36,34,98,37,1.0,45.0,LH_Default_PFC_4
Zhao 2021 1,42.0,0.0,-67.0,-19.0,32.0,11,53,52,12,53,52,1.0,17.0,LH_DorsAttn_Post_2
Zhao 2021 1,42.0,1.0,-67.0,-38.0,36.0,11,44,54,12,44,54,1.0,24.0,LH_SalVentAttn_ParOper_1
Zhao 2021 1,42.0,0.0,-68.0,-7.0,20.0,11,59,46,12,59,46,1.0,13.0,LH_SomMot_4
Zhao 2021 1,42.0,0.0,-69.0,-28.0,22.0,10,49,47,11,49,47,1.0,24.0,LH_SalVentAttn_ParOper_1
Zhao 2021 1,42.0,0.0,-67.0,-48.0,23.0,11,39,47,12,39,47,1.0,40.0,LH_Default_Par_1
Zhao 2021 1,42.0,0.0,-69.0,-17.0,3.0,10,54,37,11,54,37,1.0,10.0,LH_SomMot_1
Zhao 2021 1,42.0,0.0,-70.0,-36.0,6.0,10,45,39,11,45,39,1.0,39.0,LH_Default_Temp_2
Zhao 2021 2,42.0,0.0,10.0,42.0,57.0,50,84,64,50,84,64,0.0,97.0,RH_Default_PFCdPFCm_2
Zhao 2021 2,42.0,0.0,-23.0,39.0,53.0,33,82,62,33,82,61,1.0,46.0,LH_Default_PFC_5
Zhao 2021 2,42.0,0.0,27.0,50.0,42.0,58,88,57,58,88,56,1.0,85.0,RH_Cont_PFCl_3
Zhao 2021 2,42.0,0.0,-8.0,55.0,46.0,41,90,59,41,90,59,0.0,46.0,LH_Default_PFC_5
Zhao 2021 2,42.0,0.0,-37.0,46.0,37.0,26,86,54,26,86,53,1.0,27.0,LH_SalVentAttn_PFCl_1
Zhao 2021 2,42.0,1.0,11.0,65.0,32.0,50,95,52,50,95,52,0.0,97.0,RH_Default_PFCdPFCm_2
Zhao 2021 2,42.0,0.0,-24.0,61.0,29.0,33,93,50,33,93,50,0.0,46.0,LH_Default_PFC_5
Zhao 2021 2,42.0,0.0,29.0,68.0,14.0,59,97,43,59,96,43,1.0,83.0,RH_Cont_PFCl_1
Zhao 2021 2,42.0,0.0,-7.0,72.0,15.0,41,99,43,41,98,43,1.0,46.0,LH_Default_PFC_5
Zhao 2021 2,42.0,0.0,-37.0,62.0,11.0,26,94,41,26,93,41,1.0,45.0,LH_Default_PFC_4
Zhao 2021 2,42.0,0.0,14.0,73.0,0.0,52,99,36,52,99,36,0.0,83.0,RH_Cont_PFCl_1
Zhao 2021 2,42.0,0.0,-21.0,71.0,0.0,34,98,36,34,98,37,1.0,45.0,LH_Default_PFC_4
Zhao 2021 2,42.0,0.0,-67.0,-19.0,32.0,11,53,52,12,53,52,1.0,17.0,LH_DorsAttn_Post_2
Zhao 2021 2,42.0,0.0,-67.0,-38.0,36.0,11,44,54,12,44,54,1.0,24.0,LH_SalVentAttn_ParOper_1
Zhao 2021 2,42.0,0.0,-68.0,-7.0,20.0,11,59,46,12,59,46,1.0,13.0,LH_SomMot_4
Zhao 2021 2,42.0,0.0,-69.0,-28.0,22.0,10,49,47,11,49,47,1.0,24.0,LH_SalVentAttn_ParOper_1
Zhao 2021 2,42.0,0.0,-67.0,-48.0,23.0,11,39,47,12,39,47,1.0,40.0,LH_Default_Par_1
Zhao 2021 2,42.0,0.0,-69.0,-17.0,3.0,10,54,37,11,54,37,1.0,10.0,LH_SomMot_1
Zhao 2021 2,42.0,0.0,-70.0,-36.0,6.0,10,45,39,11,45,39,1.0,39.0,LH_Default_Temp_2
Zheng 2018 + 2020 1,64.0,0.0,46.0,-76.0,34.0,68,25,53,68,25,53,0.0,67.0,RH_DorsAttn_Post_1
Zheng 2018 + 2020 1,64.0,0.0,-16.0,60.0,10.0,37,93,41,36,93,41,1.0,45.0,LH_Default_PFC_4
Zheng 2018 + 2020 1,64.0,1.0,52.0,-76.0,18.0,71,25,45,71,25,45,0.0,57.0,RH_Vis_7
Zheng 2018 + 2020 1,64.0,0.0,44.0,-60.0,42.0,67,33,57,67,33,57,0.0,82.0,RH_Cont_Par_2
Zheng 2018 + 2020 1,64.0,0.0,-34.0,58.0,0.0,28,92,36,28,92,36,0.0,45.0,LH_Default_PFC_4
Zheng 2018 + 2020 1,64.0,0.0,-22.0,48.0,28.0,34,87,50,34,87,50,0.0,27.0,LH_SalVentAttn_PFCl_1
Zheng 2018 + 2020 1,64.0,0.0,60.0,-56.0,32.0,75,35,52,75,35,52,0.0,90.0,RH_Default_Par_1
Zheng 2018 + 2020 1,64.0,0.0,-36.0,42.0,18.0,27,84,45,27,84,45,0.0,35.0,LH_Cont_PFCl_1
Zheng 2018 + 2020 1,64.0,0.0,66.0,-48.0,14.0,78,39,43,78,39,43,0.0,74.0,RH_SalVentAttn_TempOccPar_1
Zheng 2018 + 2020 1,64.0,0.0,-46.0,36.0,4.0,22,81,38,22,81,38,0.0,35.0,LH_Cont_PFCl_1
Zheng 2018 + 2020 1,64.0,0.0,-30.0,30.0,30.0,30,78,51,30,78,51,0.0,27.0,LH_SalVentAttn_PFCl_1
Zheng 2018 + 2020 1,64.0,0.0,68.0,-32.0,24.0,79,47,48,79,47,48,0.0,75.0,RH_SalVentAttn_TempOccPar_2
Zheng 2018 + 2020 1,64.0,0.0,-52.0,24.0,24.0,19,75,48,19,75,48,0.0,35.0,LH_Cont_PFCl_1
Zheng 2018 + 2020 1,64.0,0.0,66.0,-28.0,2.0,78,49,37,78,49,37,0.0,93.0,RH_Default_Temp_3
Zheng 2018 + 2020 1,64.0,0.0,-60.0,10.0,10.0,15,68,41,15,68,41,0.0,22.0,LH_DorsAttn_PrCv_1
Zheng 2018 + 2020 1,64.0,0.0,-56.0,8.0,38.0,17,67,55,17,67,55,0.0,22.0,LH_DorsAttn_PrCv_1
Zheng 2018 + 2020 1,64.0,0.0,66.0,-8.0,6.0,78,59,39,78,59,39,0.0,59.0,RH_SomMot_1
Zheng 2018 + 2020 1,64.0,0.0,-62.0,-6.0,20.0,14,60,46,14,60,46,0.0,13.0,LH_SomMot_4
Zheng 2018 + 2020 1,,1.0,62.0,-40.0,42.0,76,43,57,76,43,57,0.0,81.0,RH_Cont_Par_1
Zheng 2018 + 2020 1,,1.0,66.0,-16.0,28.0,78,55,50,78,55,50,0.0,75.0,RH_SalVentAttn_TempOccPar_2
Zhu 2021 1,36.0,0.0,-35.9,62.6,-7.3,27,94,32,27,94,32,0.0,45.0,LH_Default_PFC_4
Zhu 2021 1,36.0,0.0,-12.9,71.5,-3.2,38,98,34,38,98,34,0.0,45.0,LH_Default_PFC_4
Zhu 2021 1,36.0,0.0,15.0,71.1,-3.3,52,98,34,52,98,34,0.0,83.0,RH_Cont_PFCl_1
Zhu 2021 1,36.0,0.0,38.2,63.0,-7.0,64,94,32,64,94,32,0.0,83.0,RH_Cont_PFCl_1
Zhu 2021 1,36.0,1.0,-45.4,52.6,1.1,22,89,36,22,89,36,0.0,43.0,LH_Default_PFC_2
Zhu 2021 1,36.0,1.0,-24.4,67.9,8.5,32,96,40,32,96,40,0.0,45.0,LH_Default_PFC_4
Zhu 2021 1,36.0,0.0,2.1,68.0,9.1,46,97,40,46,96,40,1.0,96.0,RH_Default_PFCdPFCm_1
Zhu 2021 1,36.0,0.0,26.9,68.0,8.5,58,97,40,58,97,40,0.0,83.0,RH_Cont_PFCl_1
Zhu 2021 1,36.0,0.0,46.7,53.2,1.7,68,89,36,68,89,36,0.0,83.0,RH_Cont_PFCl_1
Zhu 2021 1,36.0,1.0,-35.3,58.0,18.7,27,92,45,27,92,45,0.0,27.0,LH_SalVentAttn_PFCl_1
Zhu 2021 1,36.0,0.0,-12.7,66.8,21.6,38,96,46,38,96,46,0.0,46.0,LH_Default_PFC_5
Zhu 2021 1,36.0,0.0,14.5,68.0,22.8,52,97,47,52,97,47,0.0,97.0,RH_Default_PFCdPFCm_2
Zhu 2021 1,36.0,0.0,37.7,58.5,18.5,63,92,45,63,92,45,0.0,83.0,RH_Cont_PFCl_1
Zhu 2021 1,36.0,0.0,-45.0,41.7,27.4,22,83,49,22,83,49,0.0,35.0,LH_Cont_PFCl_1
Zhu 2021 1,36.0,0.0,-23.4,56.2,32.7,33,91,52,33,91,52,0.0,46.0,LH_Default_PFC_5
Zhu 2021 1,36.0,0.0,1.5,59.2,34.1,45,92,53,44,92,53,1.0,46.0,LH_Default_PFC_5
Zhu 2021 1,36.0,0.0,25.8,57.0,32.9,57,91,52,57,91,52,0.0,85.0,RH_Cont_PFCl_3
Zhu 2021 1,36.0,0.0,47.1,41.6,27.8,68,83,49,68,83,49,0.0,84.0,RH_Cont_PFCl_2
Zhu 2021 1,36.0,0.0,-34.5,40.3,41.8,27,83,56,27,83,56,0.0,27.0,LH_SalVentAttn_PFCl_1
Zhu 2021 1,36.0,0.0,-11.2,50.4,45.4,39,88,58,39,88,58,0.0,46.0,LH_Default_PFC_5
Zhu 2021 1,36.0,0.0,13.1,50.4,45.7,51,88,58,51,88,58,0.0,97.0,RH_Default_PFCdPFCm_2
Zhu 2021 1,36.0,0.0,36.2,39.8,42.1,63,82,57,63,82,57,0.0,85.0,RH_Cont_PFCl_3
Zhu 2021 1,36.0,0.0,-60.0,-67.0,-9.0,15,29,31,16,29,31,1.0,16.0,LH_DorsAttn_Post_1
Zhu 2021 1,36.0,0.0,-70.0,-44.0,-7.0,10,41,32,11,41,32,1.0,33.0,LH_Limbic_TempPole_2
Zhu 2021 1,36.0,0.0,-70.0,-17.0,-8.0,10,54,32,11,54,32,1.0,38.0,LH_Default_Temp_1
Zhu 2021 1,36.0,0.0,-52.0,-81.0,8.0,19,22,40,20,22,40,1.0,7.0,LH_Vis_7
Zhu 2021 1,36.0,0.0,-65.0,-59.0,12.0,12,33,42,13,34,42,1.4142135623730951,40.0,LH_Default_Par_1
Zhu 2021 1,36.0,0.0,-69.0,-28.0,16.0,10,49,44,11,49,43,1.4142135623730951,10.0,LH_SomMot_1
Zhu 2021 1,36.0,0.0,-65.0,1.0,16.0,12,63,44,13,63,44,1.0,12.0,LH_SomMot_3
Zhu 2021 1,36.0,0.0,-58.0,-70.0,23.0,16,28,47,17,28,47,1.0,41.0,LH_Default_Par_2
Zhu 2021 1,36.0,0.0,-67.0,-44.0,30.0,11,41,51,12,41,51,1.0,24.0,LH_SalVentAttn_ParOper_1
Zhu 2021 1,36.0,0.0,-68.0,-15.0,29.0,11,55,50,12,55,50,1.0,12.0,LH_SomMot_3
Zhu 2021 1,36.0,0.0,-46.0,-83.0,31.0,22,21,51,23,21,51,1.0,41.0,LH_Default_Par_2
Zhu 2021 1,36.0,0.0,-59.0,-59.0,39.0,15,33,55,15,34,55,1.0,41.0,LH_Default_Par_2
Zhu 2021 1,36.0,0.0,-66.0,-32.0,43.0,12,47,57,12,47,57,0.0,17.0,LH_DorsAttn_Post_2
Zhu 2021 1,36.0,0.0,-62.0,-4.0,40.0,14,61,56,15,61,56,1.0,13.0,LH_SomMot_4
Zhu 2021 1,36.0,0.0,-49.0,-71.0,46.0,20,27,59,21,28,59,1.4142135623730951,41.0,LH_Default_Par_2
Zhu 2021 1,36.0,0.0,-56.0,-47.0,54.0,17,39,63,17,39,62,1.0,41.0,LH_Default_Par_2
Zhu 2021 1,36.0,0.0,-57.0,-18.0,54.0,16,54,63,16,54,63,0.0,14.0,LH_SomMot_5
Zhu 2021 1,36.0,0.0,-28.0,-81.0,51.0,31,22,61,31,23,61,1.0,34.0,LH_Cont_Par_1
Zhu 2021 1,36.0,0.0,-41.0,-58.0,62.0,24,34,67,24,35,66,1.4142135623730951,18.0,LH_DorsAttn_Post_3
Zhu 2021 1,36.0,1.0,-48.0,-30.0,65.0,21,48,68,21,48,68,0.0,14.0,LH_SomMot_5
Zhu 2021 1,36.0,0.0,-44.0,-5.0,62.0,23,60,67,23,60,67,0.0,14.0,LH_SomMot_5
Zhu 2021 1,36.0,0.0,-27.0,-67.0,66.0,31,29,69,32,29,68,1.4142135623730951,18.0,LH_DorsAttn_Post_3
Zhu 2021 1,36.0,1.0,-34.0,-42.0,69.0,28,42,70,28,42,70,0.0,21.0,LH_DorsAttn_Post_6
Zhu 2021 1,36.0,0.0,-32.0,-16.0,70.0,29,55,71,29,55,71,0.0,14.0,LH_SomMot_5
Zhu 2021 2,36.0,0.0,-35.9,62.6,-7.3,27,94,32,27,94,32,0.0,45.0,LH_Default_PFC_4
Zhu 2021 2,36.0,0.0,-12.9,71.5,-3.2,38,98,34,38,98,34,0.0,45.0,LH_Default_PFC_4
Zhu 2021 2,36.0,0.0,15.0,71.1,-3.3,52,98,34,52,98,34,0.0,83.0,RH_Cont_PFCl_1
Zhu 2021 2,36.0,0.0,38.2,63.0,-7.0,64,94,32,64,94,32,0.0,83.0,RH_Cont_PFCl_1
Zhu 2021 2,36.0,0.0,-45.4,52.6,1.1,22,89,36,22,89,36,0.0,43.0,LH_Default_PFC_2
Zhu 2021 2,36.0,0.0,-24.4,67.9,8.5,32,96,40,32,96,40,0.0,45.0,LH_Default_PFC_4
Zhu 2021 2,36.0,0.0,2.1,68.0,9.1,46,97,40,46,96,40,1.0,96.0,RH_Default_PFCdPFCm_1
Zhu 2021 2,36.0,0.0,26.9,68.0,8.5,58,97,40,58,97,40,0.0,83.0,RH_Cont_PFCl_1
Zhu 2021 2,36.0,0.0,46.7,53.2,1.7,68,89,36,68,89,36,0.0,83.0,RH_Cont_PFCl_1
Zhu 2021 2,36.0,0.0,-35.3,58.0,18.7,27,92,45,27,92,45,0.0,27.0,LH_SalVentAttn_PFCl_1
Zhu 2021 2,36.0,0.0,-12.7,66.8,21.6,38,96,46,38,96,46,0.0,46.0,LH_Default_PFC_5
Zhu 2021 2,36.0,0.0,14.5,68.0,22.8,52,97,47,52,97,47,0.0,97.0,RH_Default_PFCdPFCm_2
Zhu 2021 2,36.0,0.0,37.7,58.5,18.5,63,92,45,63,92,45,0.0,83.0,RH_Cont_PFCl_1
Zhu 2021 2,36.0,0.0,-45.0,41.7,27.4,22,83,49,22,83,49,0.0,35.0,LH_Cont_PFCl_1
Zhu 2021 2,36.0,0.0,-23.4,56.2,32.7,33,91,52,33,91,52,0.0,46.0,LH_Default_PFC_5
Zhu 2021 2,36.0,0.0,1.5,59.2,34.1,45,92,53,44,92,53,1.0,46.0,LH_Default_PFC_5
Zhu 2021 2,36.0,0.0,25.8,57.0,32.9,57,91,52,57,91,52,0.0,85.0,RH_Cont_PFCl_3
Zhu 2021 2,36.0,0.0,47.1,41.6,27.8,68,83,49,68,83,49,0.0,84.0,RH_Cont_PFCl_2
Zhu 2021 2,36.0,0.0,-34.5,40.3,41.8,27,83,56,27,83,56,0.0,27.0,LH_SalVentAttn_PFCl_1
Zhu 2021 2,36.0,0.0,-11.2,50.4,45.4,39,88,58,39,88,58,0.0,46.0,LH_Default_PFC_5
Zhu 2021 2,36.0,0.0,13.1,50.4,45.7,51,88,58,51,88,58,0.0,97.0,RH_Default_PFCdPFCm_2
Zhu 2021 2,36.0,0.0,36.2,39.8,42.1,63,82,57,63,82,57,0.0,85.0,RH_Cont_PFCl_3
Zhu 2021 2,36.0,0.0,-60.0,-67.0,-9.0,15,29,31,16,29,31,1.0,16.0,LH_DorsAttn_Post_1
Zhu 2021 2,36.0,0.0,-70.0,-44.0,-7.0,10,41,32,11,41,32,1.0,33.0,LH_Limbic_TempPole_2
Zhu 2021 2,36.0,0.0,-70.0,-17.0,-8.0,10,54,32,11,54,32,1.0,38.0,LH_Default_Temp_1
Zhu 2021 2,36.0,0.0,-52.0,-81.0,8.0,19,22,40,20,22,40,1.0,7.0,LH_Vis_7
Zhu 2021 2,36.0,0.0,-65.0,-59.0,12.0,12,33,42,13,34,42,1.4142135623730951,40.0,LH_Default_Par_1
Zhu 2021 2,36.0,0.0,-69.0,-28.0,16.0,10,49,44,11,49,43,1.4142135623730951,10.0,LH_SomMot_1
Zhu 2021 2,36.0,0.0,-65.0,1.0,16.0,12,63,44,13,63,44,1.0,12.0,LH_SomMot_3
Zhu 2021 2,36.0,0.0,-58.0,-70.0,23.0,16,28,47,17,28,47,1.0,41.0,LH_Default_Par_2
Zhu 2021 2,36.0,0.0,-67.0,-44.0,30.0,11,41,51,12,41,51,1.0,24.0,LH_SalVentAttn_ParOper_1
Zhu 2021 2,36.0,0.0,-68.0,-15.0,29.0,11,55,50,12,55,50,1.0,12.0,LH_SomMot_3
Zhu 2021 2,36.0,0.0,-46.0,-83.0,31.0,22,21,51,23,21,51,1.0,41.0,LH_Default_Par_2
Zhu 2021 2,36.0,0.0,-59.0,-59.0,39.0,15,33,55,15,34,55,1.0,41.0,LH_Default_Par_2
Zhu 2021 2,36.0,0.0,-66.0,-32.0,43.0,12,47,57,12,47,57,0.0,17.0,LH_DorsAttn_Post_2
Zhu 2021 2,36.0,0.0,-62.0,-4.0,40.0,14,61,56,15,61,56,1.0,13.0,LH_SomMot_4
