macm.rTPJ,macm.lTPJ,macm.lPFCIns,macm.rPFCIns,macm.SMA,macm.lTh,macm.lIPL,macm.rTh,macm.rIPL,macm.lPrec
,0.35716875773901224,-0.14785082493581603,0.1773704612961674,-0.00933312979629561,0.009088075141016436,-0.06089493579286794,0.003845173893066826,0.09292225616502954,0.17160823318098373
0.4028202441867509,,0.24108053346285882,-0.06277404659663245,0.02804970094647218,0.06939042298792271,0.1080516151118214,-0.02486037246304259,-0.03350374391425185,0.07862063663545239
-0.12700469238109263,0.1859705783725406,,0.20769645655156968,0.10368091282678389,0.049345410080608124,0.09542136638843322,-0.04990085289385447,-0.07772506732268654,-0.014914324817498124
0.16873530429872421,-0.05363653522822444,0.22241420234936593,,0.18933623964749993,-0.058795579028696525,-0.054235177158882715,0.091560784196253,0.12538979568131,-0.2099335374314493
-0.007547606124403377,0.0199883764215955,0.0939124311973289,0.15516396344679112,,0.1003606755388073,0.03585791728146217,0.14761279457829338,-0.03895960740061478,-0.04664634834717222
0.006477626703590055,0.03739140064180633,0.03275196244861012,-0.035602328221731226,0.07209987174399905,,0.009158156816111021,0.29867550054023373,-0.013670589034838242,0.08518911283931341
-0.04651494682312026,0.0788564474408663,0.08524594746938326,-0.049937402921677324,0.03773565728681401,0.015971469150148732,,0.015912210698074483,0.5048745702702698,-0.051832539712276485
0.002614011112049582,-0.01040927040325164,-0.03350715334193019,0.057100196586796825,0.11080036898787848,0.30230699563233926,0.013480567906859834,,0.010502460951171348,0.06748831499170205
0.07083426631310943,-0.02237861100618369,-0.07120547724258651,0.10554401450242433,-0.03924598704868464,-0.0226730664138232,0.47048535374419487,0.013501887942680339,,-0.005612602354452538
0.09102051926793918,0.03213939883887737,-0.009410496409104458,-0.11628809858903016,-0.03517878410814366,0.08025320713770011,-0.03333279617802209,0.06175257448038025,-0.002645732536688366,
