cluster_id,peak_x,peak_y,peak_z,peak_value,volume_mm,talairach_gyrus,talairach_ba,aal
1.0,62.0,-48.0,16.0,0.041428569704294205,2856.0,Superior_Temporal_Gyrus,Background,Temporal_Mid_R
2.0,50.0,-20.0,-6.0,0.02523420937359333,752.0,Middle_Temporal_Gyrus,Background,Temporal_Sup_R
