cluster_id,peak_x,peak_y,peak_z,cluster_mean,volume_mm,talairach_gyrus,talairach_ba,aal
1.0,62.0,-48.0,16.0,0.019417563448099195,2856.0,63.87% Superior_Temporal_Gyrus; 26.33% Middle_Temporal_Gyrus; 5.04% Supramarginal_Gyrus,59.38% Background; 18.49% Brodmann_area_22; 10.36% Brodmann_area_39; 7.28% Brodmann_area_40,58.26% Temporal_Mid_R; 36.41% Temporal_Sup_R
2.0,50.0,-20.0,-6.0,0.01655251399039271,752.0,52.13% Superior_Temporal_Gyrus; 34.04% Middle_Temporal_Gyrus; 13.83% Sub-Gyral,89.36% Background; 8.51% Brodmann_area_22,82.98% Temporal_Sup_R; 15.96% Temporal_Mid_R
