5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,a4b2,CB1,D1,D2,DAT,FDOPA,GABAa,H3,M1,mGluR5,MU,NET,NMDA,VAChT,SV2a
2.1626914107719823,-2.032150996902979,-0.2641676962375641,-0.3052736520767212,-0.9546973705291748,-0.1512208763324533,-0.4965181350708008,-0.15390856564044952,0.010746901522684756,-0.16638623178005219,0.18260749524499503,0.17983233251118463,-0.21808484686230906,-0.5686792731285095,-0.9506255388259888,-0.5980200000831777,-0.5182625031782894,-0.8699290045449468,-0.6296666850954092,-0.3464353084564209,-0.5794389247894287
-0.10445481413024088,-0.489757073094211,0.619941234588623,-0.29945632815361023,-0.3789888918399811,-0.3366402704410626,-0.2540585696697235,-0.18416117131710052,-0.22529603703336837,-0.4457007348537445,-0.0767262200391513,-0.08574934607351742,1.7679250795658596,-0.5298557281494141,-0.8880088329315186,-0.982133254876421,-1.3458754117897076,-0.2756648632879682,0.4679303296715712,-0.4304879605770111,0.20786680281162262
-0.028514902251486098,-0.45447175216971014,0.5146322250366211,-0.32574227452278137,-0.7223469018936157,-0.18875626789125696,-0.46956580877304077,-0.8730708360671997,0.15678586018654966,-0.4506703317165375,-0.0245693953411272,-0.10941297372818361,1.8880031257206042,-0.6854501366615295,-1.0724318027496338,-0.600219781965662,-1.2073470219363858,-0.613722058900974,0.8151711075748995,-0.39977002143859863,-0.17345984280109406
-1.3538166648954186,-0.857495213250343,-0.052628569304943085,-0.5261827707290649,-1.0511735677719116,-0.502372147175699,-1.0596975088119507,-0.7794196605682373,-0.9932924147654436,-0.5430971384048462,-0.8268162586052293,-0.7496914916978948,-0.15035590158505,-0.7445483803749084,-0.3077602982521057,-1.8686915009722505,-1.7957304246154722,-0.736139432593794,-2.340388990777231,-0.5903589129447937,-0.808921217918396
-1.0171791690317888,1.306923884773504,0.9855685234069824,-0.5231889486312866,-0.43033549189567566,-0.1965238663532947,-1.3078855276107788,-1.5316332578659058,-0.3537372873375508,-0.662899374961853,-0.3004257754692334,-0.29347200689628705,2.6508614841596745,-0.6503522396087646,-0.13160210847854614,-1.1293753610778097,-1.934010651226004,-0.8205899799241577,0.08433014316597097,-0.5580434203147888,-1.0063649415969849
-0.6171018107336305,1.6030448579439855,0.7673906683921814,-0.4185805916786194,0.1708022654056549,-0.036595712809887986,-0.6395202875137329,-1.8108717203140259,0.12539909421985848,-0.5254482626914978,-0.010145035654353816,-0.09296348347902808,2.5767327333269545,-0.6075040102005005,0.26775771379470825,-0.2378562118863915,-1.6589469700258865,-0.21743484786226858,0.6845618304452272,-0.3708961308002472,0.27278798818588257
0.17784635621656647,-0.12235740862889811,0.9787147045135498,-0.11983098089694977,0.2613140046596527,-0.36045328144613786,-0.45618948340415955,-0.18829040229320526,-0.5077834129118468,-0.2761506736278534,-0.5334932915024697,-0.34616853333500586,0.662223474777248,-0.6480030417442322,0.1837335079908371,0.37347957520267194,-0.560771705552246,-0.23670080378426364,-0.7289569976745258,-0.3552686274051666,0.1985578089952469
-0.8713866919213756,-0.1868227178134811,0.10617367923259735,-0.3591013550758362,-0.42648082971572876,-0.47035429023467895,-0.5719410181045532,-0.3882395327091217,-0.7496837342169591,-0.4307210445404053,-0.7230789951407557,-0.7466240137178088,0.21974802197812082,-0.7251296043395996,0.1886691451072693,-0.6710552964381943,-1.3772168863061822,-0.10866726770924669,-1.215741076912313,-0.44630399346351624,0.1466355323791504
-0.47383142801076344,0.13977753529265105,0.038988810032606125,-0.44142645597457886,0.19773992896080017,-0.2763409744253782,-0.6692391037940979,-1.1713309288024902,-0.36472441849574067,-0.4870932698249817,-0.37605153882649683,-0.3512956571167407,1.583820925141586,-0.6353405117988586,0.2921457290649414,-0.009799931233075177,-1.592652790798635,0.11174790390578887,0.047932822637350485,-0.45074525475502014,0.16124354302883148
0.4075220130737603,-0.08620408524322053,1.0377320051193237,-0.11674776673316956,0.41214561462402344,-0.1281367860381803,-0.2648707330226898,0.06868244707584381,-0.3359748984128825,-0.20460642874240875,-0.2101495515094148,-0.09577250812082574,0.9342849623636286,-0.11583048105239868,0.08272125571966171,0.6693357943526347,-0.4813234051690445,0.5095811358801393,0.1830764586962293,-0.09704044461250305,-0.13652288913726807
