targetNr,targetName,nvox_target,nvox_roi,nvox_overlap,relDistr,absDistr
1,VN,22753,7331,597,0.08143500204610558,0.026238298246385093
2,SMN,20128,7331,301,0.041058518619560766,0.01495429252782194
3,DAN,15378,7331,1101,0.1501841495021143,0.07159578618806087
4,VAN,15153,7331,2263,0.30868912835902335,0.14934336435029366
5,LN,11958,7331,2,0.00027281407720638383,0.00016725204883759825
6,FPN,20924,7331,980,0.13367889783112807,0.04683616899254445
7,DMN,31304,7331,1565,0.21347701541399536,0.04999361104012267
