targetNr,targetName,nvox_target,nvox_roi,nvox_overlap,relDistr,absDistr
1,VN,22753,622,0,0.0,0.0
2,SMN,20128,622,17,0.027331189710610933,0.0008445945945945946
3,DAN,15378,622,0,0.0,0.0
4,VAN,15153,622,462,0.7427652733118971,0.030489012076816473
5,LN,11958,622,0,0.0,0.0
6,FPN,20924,622,105,0.16881028938906753,0.005018160963486905
7,DMN,31304,622,0,0.0,0.0
