targetNr,targetName,nvox_target,nvox_roi,nvox_overlap,relDistr,absDistr
1,VN,22753,2455,471,0.19185336048879836,0.020700566958203315
2,SMN,20128,2455,43,0.017515274949083504,0.002136327503974563
3,DAN,15378,2455,431,0.17556008146639512,0.028027051632201847
4,VAN,15153,2455,553,0.22525458248472505,0.03649442354649245
5,LN,11958,2455,0,0.0,0.0
6,FPN,20924,2455,125,0.05091649694501019,0.00597400114700822
7,DMN,31304,2455,752,0.30631364562118124,0.02402248913876821
