targetNr,targetName,nvox_target,nvox_roi,nvox_overlap,relDistr,absDistr
1,VN,22753,1850,125,0.06756756756756757,0.005493781039862875
2,SMN,20128,1850,212,0.11459459459459459,0.010532591414944356
3,DAN,15378,1850,258,0.13945945945945945,0.016777214202106906
4,VAN,15153,1850,542,0.292972972972973,0.03576849468752062
5,LN,11958,1850,0,0.0,0.0
6,FPN,20924,1850,34,0.018378378378378378,0.001624928311986236
7,DMN,31304,1850,643,0.34756756756756757,0.020540506005622284
