targetNr,targetName,nvox_target,nvox_roi,nvox_overlap,relDistr,absDistr
1,VN,22753,389,0,0.0,0.0
2,SMN,20128,389,0,0.0,0.0
3,DAN,15378,389,0,0.0,0.0
4,VAN,15153,389,241,0.6195372750642674,0.015904441364746256
5,LN,11958,389,0,0.0,0.0
6,FPN,20924,389,79,0.20308483290488433,0.003775568724909195
7,DMN,31304,389,1,0.002570694087403599,3.194479938665985e-05
