roiName,nvox_roi,targetNr,targetName,nvox_target,nvox_overlap,relDistr,absDistr
ale_rTPJ_cluster,357,1,Ficco_PredEncodeViolate,1408,0,0.0,0.0
macm_rTPJ_network,16085,1,Ficco_PredEncodeViolate,1408,949,0.05899906745414983,0.6740056818181818
