GABAcl1,GABAcl2,GABAcl3,GABAcl4
0.5173964533785652,0.43879120975484087,0.36385130362757984,0.34004149445172605
0.3722384165929511,0.6513859165201088,0.523199950760943,0.4725463834221196
0.36490928202011486,0.690815813779458,0.4837536647186697,0.4572676183041445
0.3248303089380966,0.7572998002299682,0.5585615110685764,0.5434081165591153
0.2818660026737762,0.750894353920946,0.5437866865773006,0.5368417884003533
0.3535112545961201,0.6908874051356833,0.5612581369142118,0.5140151698120041
0.42195678371236683,0.6705326438220143,0.5911442163493579,0.5197572849652161
0.39757052900310363,0.7086650722479115,0.6102458577770585,0.5522664755574236
0.37474381146996705,0.6938125272312254,0.5797710692612954,0.5378560398269082
0.48223839677236535,0.6262574476021221,0.5893629072086836,0.5141592355834742
0.5060208913343575,0.5141714634226588,0.5132901364851584,0.5255769822704396
0.4935378366599365,0.6702962074454469,0.5963506792301766,0.5121328698743749
0.43190390676114143,0.6509946747780946,0.5362916321724945,0.5556717467360561
0.35460304325739206,0.725074288676714,0.5444324779006385,0.5899768833126245
0.4136227184378538,0.6554540405322367,0.5432636378550443,0.5494001984145065
0.4821481906932081,0.598669826231473,0.5721402659285243,0.47232958578093526
0.4652372211195308,0.6692301193815158,0.5646342608870986,0.5642766822022874
0.42102058109895907,0.6955179398792153,0.5934172215159121,0.5731273593012888
0.4102583533223334,0.6741073575666177,0.57361597175547,0.5787376651941027
0.4490818073079086,0.6343242201162018,0.596520963105152,0.539516701694288
0.43497295674346326,0.6599650538196046,0.575443529816691,0.5411339626887294
0.45805149921835187,0.6737349778247071,0.5880196484394847,0.5181483458719088
0.4506034827020806,0.6468070919745522,0.5400550969993227,0.5162017802422172
0.4669999403250844,0.6295710721352168,0.5903836906406382,0.5076669657418769
0.6048120373369115,0.34456342706618637,0.48797450039998547,0.40847680403091663
0.617377711332779,0.5210297508122739,0.601931226363898,0.45999765409186555
0.49929557478831604,0.6361454203193923,0.6115834872976418,0.4914734252402864
0.5959362928856803,0.44853121865210743,0.5615008011843814,0.5401935383397188
0.4682026829726953,0.5906121525118917,0.5668334034258458,0.5335501842360325
0.46680645033174367,0.6603753128630923,0.5751159312407654,0.5570059420237173
0.5793912260530414,0.5410146408114426,0.6173504411067368,0.4945371538224432
0.6354762377207626,0.37961276776273417,0.5527536121726484,0.4540142897650506
0.5424905080380217,0.5422232500749351,0.5965677493751385,0.46936487658928955
0.4339919436497625,0.6716807264276523,0.6036480840654441,0.5658421986382042
0.48642396549927464,0.6957500789467941,0.6387335778475906,0.5389841535338807
0.4014775929804729,0.7383663250376701,0.5993008440258016,0.49794634712385033
0.5028719057447911,0.6239122532430521,0.6277980060091084,0.6042609858574203
0.5551761090441174,0.5317925801140218,0.5912599676362424,0.4559084294418943
0.48395557113696236,0.627359578454135,0.6143040214161716,0.5023873600547506
0.46461215593946875,0.6244735161081948,0.5699201428861214,0.5092564892230674
