,GABAcl,zr,p,q,sig
0,GABAcl1,-0.361109691449326,0.14077,0.18769333333333335,False
1,GABAcl2,0.518133091034171,0.00019996,0.00039992,True
2,GABAcl3,0.467946872605564,0.00019996,0.00039992,True
3,GABAcl4,-0.0486066403956182,0.59288,0.59288,False
