PETmRNA,zr,p
GABAa,0.533495173353136,0.00019996
5HT2a,0.388280134462956,0.00019996
SV2a,0.364911575125151,0.00019996
mGluR5,0.388039666268225,0.00019996
NET,0.182922849221539,0.05239
GABAa,0.450698956272391,0.0021996
5HT2a,0.359308300312611,0.00019996
SV2a,0.300331259056584,0.0015997
mGluR5,0.252722628534166,0.0093981
NET,0.221997988802266,0.015797
